seed	chisq	p_value	DIEP_acc	DiGePred_acc
64479	22.4	2.21374012308886e-06	0.9375	0.7109375
20848	24.7352941176471	6.57686992064812e-07	0.9453125	0.7109375
79114	22.4	2.21374012308886e-06	0.9375	0.7109375
45996	22.4	2.21374012308886e-06	0.9375	0.7109375
95609	22.4	2.21374012308886e-06	0.9375	0.7109375
59128	20.25	6.79534624946012e-06	0.9296875	0.7109375
94555	18.2702702702703	1.91675345566975e-05	0.921875	0.7109375
85226	18.2702702702703	1.91675345566975e-05	0.921875	0.7109375
54278	20.25	6.79534624946012e-06	0.9296875	0.7109375
90045	13.225	0.000276239723947339	0.8984375	0.7109375
54527	20.25	6.79534624946012e-06	0.9296875	0.7109375
68599	20.25	6.79534624946012e-06	0.9296875	0.7109375
72717	18.2702702702703	1.91675345566975e-05	0.921875	0.7109375
90620	23.3611111111111	1.34265691161819e-06	0.9375	0.703125
21378	16.4473684210526	5.00195684358131e-05	0.9140625	0.7109375
24686	18.2702702702703	1.91675345566975e-05	0.921875	0.7109375
73314	24.7352941176471	6.57686992064812e-07	0.9453125	0.7109375
47848	24.7352941176471	6.57686992064812e-07	0.9453125	0.7109375
59533	24.7352941176471	6.57686992064812e-07	0.9453125	0.7109375
98115	22.4	2.21374012308886e-06	0.9375	0.7109375
90073	16.4473684210526	5.00195684358131e-05	0.9140625	0.7109375
91317	22.4	2.21374012308886e-06	0.9375	0.7109375
59364	16.4473684210526	5.00195684358131e-05	0.90625	0.703125
65926	20.25	6.79534624946012e-06	0.9296875	0.7109375
79343	22.4	2.21374012308886e-06	0.9375	0.7109375
74880	22.4	2.21374012308886e-06	0.9375	0.7109375
35183	18.2702702702703	1.91675345566975e-05	0.921875	0.7109375
77205	20.25	6.79534624946012e-06	0.9296875	0.7109375
91134	24.7352941176471	6.57686992064812e-07	0.9453125	0.7109375
35029	24.7352941176471	6.57686992064812e-07	0.9453125	0.7109375
15083	16.4473684210526	5.00195684358131e-05	0.9140625	0.7109375
17174	20.25	6.79534624946012e-06	0.9140625	0.6953125
47922	20.25	6.79534624946012e-06	0.9296875	0.7109375
50736	24.7352941176471	6.57686992064812e-07	0.9453125	0.7109375
52176	18.2702702702703	1.91675345566975e-05	0.921875	0.7109375
89648	25.7142857142857	3.95885676595603e-07	0.9453125	0.703125
89534	20.25	6.79534624946012e-06	0.9296875	0.7109375
85147	20.25	6.79534624946012e-06	0.9296875	0.7109375
17381	20.25	6.79534624946012e-06	0.9296875	0.7109375
97080	24.7352941176471	6.57686992064812e-07	0.9453125	0.7109375
97440	22.4	2.21374012308886e-06	0.9375	0.7109375
42534	20.25	6.79534624946012e-06	0.9296875	0.7109375
47823	14.7692307692308	0.000121501975643081	0.90625	0.7109375
54508	19.1842105263158	1.18691089500558e-05	0.921875	0.703125
69201	22.4	2.21374012308886e-06	0.9375	0.7109375
97070	20.25	6.79534624946012e-06	0.921875	0.703125
95514	20.25	6.79534624946012e-06	0.9296875	0.7109375
56985	16.4473684210526	5.00195684358131e-05	0.9140625	0.7109375
54328	22.4	2.21374012308886e-06	0.9296875	0.703125
15929	18.2702702702703	1.91675345566975e-05	0.921875	0.7109375
31197	22.4	2.21374012308886e-06	0.9375	0.7109375
14111	22.4	2.21374012308886e-06	0.9375	0.7109375
